"revision_id","revision_page_id","tag_id"
689015388,37831158,11
634787607,372646,4
713125917,35759328,1
256987527,1272844,12
419184617,23103900,12
399941436,3282281,3
194563664,442893,11
426914557,8819023,12
441847624,15323,12
378014666,27080072,12
685700063,150340,2
91305591,648118,12
773798857,1439959,11
616838898,2888188,12
648392977,23766768,12
245818506,12673430,11
386391861,11270405,1
81707084,702389,3
270274202,17965515,5
571913925,396356,11
134521928,15403,12
675194769,42707192,11
605648773,1944281,1
682123500,943809,12
331401931,325218,2
183711405,66881,3
526662452,21027927,5
730444254,51108546,12
460091637,18921979,12
726850984,30738122,12
117378576,3567228,2
94307767,169252,11
105909290,200694,12
469735666,30470945,12
539574795,4202928,12
123719358,1047970,1
361229474,336110,12
287011907,1040948,5
461235217,16190519,3
372758427,2674279,12
453319741,6670074,12
422757603,1440545,12
335088234,996951,12
641077411,30557552,12
316639741,2041201,12
353597131,12959925,12
402363418,19185907,12
37854991,6037917,3
733195786,47418475,2
338592298,19792392,1
699481924,3097114,2
783329671,53124986,12
459168063,16885554,3
175639662,5312494,2
452459206,11986,5
196890382,16186369,12
113697117,939583,12
269316301,21133549,1
423868176,1778120,5
304271830,1175987,5
745637554,3630757,5
671719902,3714372,12
508255436,36665815,12
261111446,664786,2
376530166,28218620,12
380021883,20049668,12
721007907,50562487,12
533389124,32463320,12
798559034,16078,9
212047900,379440,12
21189768,276447,6
523584564,87513,2
607936709,596566,1
193396836,13269193,1
150562647,1715880,12
80642793,5016387,5
690794126,8854150,12
81755968,32374,11
57534770,25453345,12
129491853,321991,11
580704285,485118,12
15540587,4745,5
200516077,11561558,12
644193017,2339207,12
93953901,8411559,12
115646522,496677,2
280999180,8147126,12
211589561,1520528,3
637842031,20861421,12
559302533,39639138,12
258250717,19522363,12
511698991,2233839,1
46989863,27718,12
84222404,630747,12
287298747,24151,2
544150769,17292548,2
596096226,3916387,12
309264620,11986,2
522546942,2166873,1
604747265,8336313,3
417200166,8612528,12
689175926,47037412,12
662794948,46599780,12
516893609,21875,12
271144333,5819521,12
166623761,5887233,2
520185193,25729784,12
391595442,23769404,12
503759411,31691704,12
806496601,12911473,12
265747322,203456,1
556838388,160977,1
583713859,3938339,12
310814748,4144796,12
427837406,12101869,12
479151909,29360375,12
705332690,37643999,12
174046754,2046416,12
709728342,49749817,12
294121845,373900,12
505442126,25084215,12
248202873,5755439,12
47010566,228753,12
434530203,27439614,11
213378717,15283826,12
732859681,1152442,12
649390316,45544174,12
86082067,31056,12
82047327,15573,2
434893913,29061888,12
586811243,12164751,11
547278507,31989893,12
339826883,71180,2
