currentRowCount,currentColumnCount,currentCellCount,unmatchedTableRatio,unmatchedRowRatio,isContributorAnonymous,timeOfDay,dayOfWeek,isMinorEdit,commentLength,isBot,hasPreviousSameContributor,timeSinceLastArticleEdit,sizeChange,timeSinceLastArticleEditBySameContributor,revertCount,ratioOffAllEditsToContributorEdits,contributorRevertedBeforeInThatArticleCount,cellCountChange,rowCountChange,columnCountChange,sharedCellRatio,isRankChange,ratioOfNumericalCharsToAllChars,ratioOfAlphanumericCharsToAllChars,ratioOfUppercaseCharsToAllChars,ratioOfUppercaseCharsToLowercaseChars,lengthOfLongestConsecutiveSequenceOfSingleChar,lengthOfLongestToken,previousLength,offensiveWordCountInTables,offensiveWordCountInComment,averageRelativeFrequencyOfNewAddedWords,LZWCompressionRate,KLDOfCharDistribution,isCommentDeleted,isContributorDeleted,revision_id,tag_id
7,6,42,1.0,0.2857142857142857,0,2,2,0,14,0,1,42,504,25,0,0.13405797,3,6.0,1.0,0.0,0.9923809523809526,0,0.039660055,0.7589605,0.08757236,0.14087577,3,16,8160,10,0,1.2222222,0.33598841419261405,315.48235294117643,0,0,730449352,12
6,2,12,1.0,0.0,0,20,3,0,16,0,0,63443,124,-1,0,0.011627907,0,0.0,0.0,0.0,0.9772727272727273,0,0.033927057,0.775516,0.09895392,0.15398152,3,12,3531,2,0,1.0,0.5166290868094702,782.615289786263,0,0,483213111,2
6,2,12,1.0,0.0,0,20,3,0,16,0,0,63443,124,-1,0,0.011627907,0,0.0,0.0,0.0,0.9772727272727273,0,0.033927057,0.775516,0.09895392,0.15398152,3,12,3531,2,0,1.0,0.5166290868094702,782.615289786263,0,0,483213111,11
0,0,0,1.0,1.0,0,17,6,1,67,0,0,45897,78,-1,0,0.007936508,0,0.0,0.0,0.0,1.0,0,0.12593052,0.8120347,0.13027295,0.234375,3,34,1629,0,0,1.0,0.5887096774193549,827.6484714548803,0,0,216224416,12
0,0,0,1.0,1.0,0,1,4,1,152,1,0,2489,-14,-1,0,5.0025014E-4,0,0.0,0.0,0.0,1.0,0,0.025046911,0.8087623,0.0508281,0.06935322,4,31,12135,5,0,1.0,0.4455221467830585,8321.063893269684,0,0,539338621,12
18,13,234,1.0,0.0,1,20,2,0,10,0,0,13264,0,-1,0,3.8066236E-4,0,0.0,0.0,0.0,1.0,0,0.4641791,0.8552239,0.06119403,0.18552037,5,53,660,0,0,1.0,0.6130867709815079,926.2545454545455,0,0,746191686,12
0,0,0,1.0,1.0,0,2,1,1,152,0,0,7455,0,-1,20,6.807352E-4,0,0.0,0.0,0.0,1.0,0,0.005084083,0.80641377,0.01662104,0.02118116,3,51,4983,1,0,1.0,0.3712609970674487,6755.424562916905,0,0,277553354,12
31,7,217,1.0,0.0,1,13,3,0,13,0,0,8631,5,0,0,0.0011918951,0,0.0,0.0,0.0,0.9940119760479041,0,0.0016093341,0.80848926,0.014685174,0.01853733,6,19,4966,1,0,1.0,0.3594127111826227,361.6786145791381,0,0,319810232,2
55,3,165,1.0,0.0,0,1,5,0,1,0,0,5403,619,1336,0,0.036093418,6,0.0,0.0,0.0,0.9969008270116719,0,0.035935264,0.78301346,0.06873038,0.10132026,4,24,107805,209,0,1.0,0.32295958133838104,50.684699225453365,0,0,681568790,12
41,7,287,1.0,0.0,0,5,1,0,125,0,1,14,0,14,2,0.32365146,9,0.0,0.0,0.0,1.0,0,0.006329114,0.5973101,0.09691456,0.19615692,3,41,2475,4,0,1.0,0.40221256420387197,2517.617777777779,0,0,392736586,12
2,1,2,1.0,0.0,0,22,1,0,18,0,0,88,0,1,0,0.016843418,2,0.0,0.0,0.0,0.75,0,0.40478563,0.5633101,0.02791625,0.21374045,3,12,998,0,0,1.0,0.5839126117179742,146.72545090180364,0,0,87627208,5
8,6,48,1.0,0.0,0,13,3,0,62,0,0,12755,0,8758,0,0.14640199,0,0.0,0.0,0.0,0.9921875,0,0.07865169,0.7156439,0.11235955,0.21416804,2,17,1157,2,0,2.0,0.5004306632213609,12.39066551426102,0,0,298353276,12
5,7,35,1.0,0.0,1,13,2,0,122,0,0,12696,0,-1,0,7.2516315E-4,0,0.0,0.0,0.0,0.9807692307692308,0,0.06519065,0.73923737,0.11439114,0.2043956,3,57,704,0,0,1.0,0.5408038976857491,4274.015948963319,0,0,536693189,2
0,0,0,1.0,1.0,1,17,5,0,47,0,0,143466,0,-1,0,0.0042918455,0,0.0,0.0,0.0,1.0,0,0.23340249,0.74118257,0.07451591,0.17198724,3,23,5790,17,0,1.0,0.3938675249872946,113.01139896373056,0,0,506757574,12
9,2,18,1.0,0.0,0,1,2,1,136,0,0,2587,4,-1,0,0.0035714286,0,0.0,0.0,0.0,0.9333333333333333,0,0.02513089,0.7727749,0.122513086,0.1959799,2,24,831,0,0,1.2727273,0.6068821689259646,5782.825511432013,0,0,93707903,12
11,2,22,1.0,0.2727272727272727,0,17,2,0,56,0,0,2,1123,-1,2,0.027777778,0,6.0,3.0,0.0,0.7,0,0.016483517,0.8104396,0.10714286,0.156,2,13,242,0,0,1.0,0.8324175824175825,5754.77738010021,0,0,8892631,12
89,4,356,1.0,-0.011235955056179775,0,16,1,0,0,0,0,309,-789,32172,2,0.51744187,6,-8.0,-2.0,0.0,1.0,0,0.21938393,0.72633356,0.06198347,0.13929929,8,19,5431,6,0,0,0.417962962962963,0.0,0,0,572210555,12
81,4,324,1.0,0.0,0,20,6,1,182,1,0,23489,6,-1,0,0.0013831259,0,0.0,0.0,0.0,0.9965277777777778,0,0.20007165,0.72917783,0.06627262,0.14318885,3,36,5399,4,0,1.0666667,0.4103099965168931,5732.047126279422,0,0,499031999,12
1,1,1,1.0,0.0,1,15,2,0,19,0,0,7107,156,-1,0,0.0023041475,0,0.0,0.0,0.0,0.0,0,0.032697547,0.80699366,0.0835604,0.12097304,2,25,2188,2,0,1.0,0.5315478892419429,1608.1727021665558,0,0,181391240,3
1,5,5,1.0,0.0,1,15,7,0,21,0,0,346,1,-1,0,0.0017482517,0,0.0,0.0,0.0,0.96,0,0.03422053,0.74482465,0.06717364,0.10439921,5,17,2367,21,0,0,0.4322498944702406,0.0,0,0,410976532,12
9,9,81,1.0,0.0,0,0,7,0,22,0,0,2426,0,5900,0,0.003690037,0,0.0,0.0,0.0,1.0,0,0.30875576,0.77880186,0.08755761,0.22891566,8,14,434,0,0,1.0,0.7327188940092166,108.53456221198157,0,0,424451898,12
2,6,12,1.0,0.0,1,20,1,0,11,0,1,3,501,3,0,0.012903226,5,6.0,0.0,3.0,0.8888888888888888,0,0.064935066,0.75624377,0.08491509,0.14003295,3,13,1112,0,0,1.0,0.5784215784215784,670.8070634401569,0,0,292287858,5
2,6,12,1.0,0.0,1,20,1,0,11,0,1,3,501,3,0,0.012903226,5,6.0,0.0,3.0,0.8888888888888888,0,0.064935066,0.75624377,0.08491509,0.14003295,3,13,1112,0,0,1.0,0.5784215784215784,670.8070634401569,0,0,292287858,11
12,10,120,1.0,0.0,1,11,4,0,14,0,1,1,710,0,0,0.0011042403,1,0.0,0.0,0.0,1.0,0,0.06054948,0.7092558,0.083488934,0.14771119,3,36,3145,3,0,1.4415585,0.4532124766728872,33639.2953895072,0,0,763289725,3
0,0,0,1.0,1.0,0,19,3,1,3,0,0,7458,-352,-1,0,5.608525E-4,0,0.0,0.0,0.0,1.0,0,0.06348265,0.76372,0.05458321,0.0845394,3,17,6872,11,0,1.0,0.4289893228023987,3.5762514551804423,0,0,746333309,12
1,4,4,1.0,0.0,0,3,4,0,12,0,0,5913,0,542735,0,0.035714287,0,0.0,0.0,0.0,0.8333333333333333,0,0.5387755,0.82857144,0.08163265,0.39215687,3,24,251,0,0,1.0,0.8653061224489796,53.035856573705175,0,0,141096697,12
47,3,141,1.0,0.0,1,15,2,0,10,0,1,7,-3,6,0,0.004513217,0,0.0,0.0,0.0,0.989010989010989,0,0.0,0.7714808,0.12126752,0.18650422,2,13,1628,1,0,1.0,0.5198049969530774,554.7714987714987,0,0,507388348,12
5,7,35,1.0,0.0,1,9,3,0,29,0,0,2279,-3082,-1,0,0.009708738,0,-7.0,-1.0,0.0,1.0,0,8.860535E-5,0.79620767,0.09551657,0.1363349,2,58,11462,1,0,1.0,0.2519940397931458,29.481765834932823,0,0,189462638,1
