revision_id,revision_page_id,tag_id
7078112,1066808,12
7750035,19985174,12
8936518,1328236,12
10572525,944316,12
10684846,234683,12
13079389,427748,12
15341175,5757384,12
17568638,1941436,12
18274545,1620770,12
20136190,184474,12
21829576,155141,12
23595245,1280856,12
25689216,2921186,12
27381413,1046206,12
27819009,73139,12
29527985,2284772,12
30969467,2995553,5
30969467,2995553,11
33849340,59033,12
33854176,332751,12
36055324,3425695,12
37497960,3881235,12
41999017,19147,12
44476159,739735,12
44987687,495896,12
46989863,27718,12
47010566,228753,12
47308872,4368850,12
47489036,246185,12
49123388,89443,12
50385769,2998352,12
52640130,2572919,12
54679507,4177677,12
56493461,5064468,12
56885036,4350302,12
58084229,2532140,12
61222752,351542,12
65842986,3813320,12
67102097,1222985,12
67175555,2699650,12
68816395,55904,12
69898007,4114314,12
70791056,65529,12
72878183,3029374,12
73707398,209373,12
74229710,2638004,5
74736756,3294281,12
78185318,784781,6
80480484,6390754,12
81196758,7423372,12
91305591,648118,12
92831895,3765806,12
95518973,341894,12
98917103,1443084,12
101826340,78255,12
101961873,41771187,12
102167304,1793476,12
102355654,32090,12
106621878,4274363,12
107483824,5397974,12
109751628,3260698,12
111463170,785198,12
112078155,6479315,12
113271804,6528154,12
114538689,4993996,12
116506712,18948043,12
117598804,12819734,12
117961992,7954570,12
118760805,7946221,12
121146166,1813865,12
121175834,3220308,12
122944784,4689460,12
123305205,2456526,12
127858631,11031013,12
131383350,3663097,12
132466211,3663075,5
132466211,3663075,11
133025525,8136671,12
134910589,2707728,12
136325749,444211,12
137155445,6099849,12
137535977,17839,12
138486106,39942,12
138835153,169719,12
141060584,5989701,12
141096697,1863685,12
142124905,1852628,12
142896544,1243547,12
144468333,460445,12
147845601,569419,12
150594252,8857042,12
151115903,10794139,12
152111176,933605,12
152603056,11033647,12
153400929,8384685,12
154641876,11798840,12
154900662,620504,3
154900662,620504,5
154900662,620504,11
154901019,342996,12
158744587,30863981,12
159327219,5888467,12
167276194,878851,12
167331924,5207311,12
167769517,26324,12
168759449,6667294,12
173465943,893411,12
175344668,10414360,12
176314433,5366601,12
178811052,10560886,12
179737559,243727,12
180550385,32231,12
180604319,14890720,12
181007183,3028912,12
182636957,2293646,12
182705445,14460545,12
185058198,14513019,12
187441676,14733137,12
189599164,9600220,12
190471536,5856737,12
191392364,5632489,12
192777912,15829930,12
194755642,14433025,12
194792675,15673406,12
196198241,8312243,12
197005803,43715,12
197614705,9996355,12
199507853,16407645,12
199993301,16473622,12
203553945,9277979,12
207208385,14738311,12
207622175,375217,12
208620940,10702200,12
210344651,8974829,12
210947352,15550180,12
211228696,233405,12
211249084,15672818,12
211429320,610531,12
211801611,11942987,12
211843277,19716446,2
211843277,19716446,5
211843277,19716446,11
212719033,1261730,12
213378717,15283826,12
215108939,1093357,12
215718167,7520918,12
216114275,10226848,12
217361121,566283,12
218404440,17035268,3
222919606,9504027,12
223984303,14303467,12
224115105,5816836,12
225495092,638360,12
227671381,1379565,12
227729300,307050,12
228029983,2688239,12
228080049,12607832,12
228108036,80824,12
228884379,511806,12
229529204,1467692,12
229904988,18562984,12
230078196,1076869,12
230268903,148983,12
231585158,12741336,12
