revision_id,revision_page_id,tag_id
378014666,27080072,12
616838898,2888188,12
730444254,51108546,12
105909290,200694,12
641077411,30557552,12
196890382,16186369,12
376530166,28218620,12
57534770,25453345,12
93953901,8411559,12
559302533,39639138,12
258250717,19522363,12
84222404,630747,12
596096226,3916387,12
310814748,4144796,12
174046754,2046416,12
709728342,49749817,12
294121845,373900,12
248202873,5755439,12
649390316,45544174,12
45985022,26989,2
3511384,5243711,12
53571090,895551,12
46150743,3980367,12
263084567,4848143,12
15122552,1810875,12
211612062,17365702,12
645128963,8228825,12
665194623,7062344,12
528445929,37953573,12
754014864,881128,12
284031835,20554763,12
428215189,60023,12
6693680,30388,12
597331661,42061201,12
610579434,30313654,12
734507750,51326824,12
215733880,27843,12
63822028,5943211,12
22206828,2515870,12
191597000,8434667,12
81168767,377622,12
383720052,4944971,12
213969688,15333330,12
102654119,9061034,12
630579499,44177074,12
36616055,190883,12
189083894,157470,2
791348909,54601048,12
308437378,20814112,12
13100320,1826876,12
333159353,25519649,12
165503314,6690,12
205315588,10352261,12
29154835,3191930,12
48801615,30858187,12
374588986,8114497,12
274556460,4306972,12
2359434,319293,12
450101318,33063688,12
303385451,4415445,12
741894815,3662378,6
78633349,1004014,12
647962616,45446035,12
794584215,1320759,6
52962653,5125509,12
381431498,10227465,12
157957310,465901,12
488320692,35562907,12
472403714,34281231,12
207612015,16994071,12
696737023,48908370,12
770174999,53475235,12
788342892,54399938,12
253451506,3264698,12
69074781,6230558,12
684742726,1464359,6
39385895,575509,12
677768523,13793684,12
529279732,733874,12
712460665,1911535,12
7896296,1214548,12
225878777,8818816,12
779449622,474687,12
371796595,7678374,12
118855211,683150,12
494612062,5229588,12
501405377,36374079,3
500328620,36305904,12
190451355,10977227,12
646527580,717037,12
367029142,26427332,12
653449064,46222738,12
695453297,48832403,12
565091705,23113921,12
741106638,51635448,12
75780909,4745869,12
138464858,10825776,12
801944886,29575476,12
380014203,97659,12
169169704,10630936,12
407302333,8269659,12
455831764,33427480,12
148832671,10095434,12
54153716,173961,12
645949788,34513315,12
555906608,796493,12
321103678,24766798,12
507175251,1632916,12
365627314,10492048,12
412235263,30807278,12
631053894,44208798,12
585774884,13136107,12
693078693,48686461,12
479112815,2559963,12
125907522,7094867,12
233662995,9624237,12
217710944,16714751,12
365646341,26682365,12
734045612,40018245,12
36296778,44275267,12
166879265,19985174,12
34196079,1126926,12
101862354,4914453,12
393766977,29408252,12
661039182,46622267,12
512350418,26046595,12
45985022,26989,11
